S.No. Main_Task_Title Main_Task_Description Project_head Sub_Task_Title EstimateHours Person_Name Person_Age
1 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_1 8 saikiran 33 
2 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_2 8 saikiran 33 
3 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_3 8 saikiran 33 
4 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_4 8 saikiran 33 
5 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_5 8 saikiran 33 
6 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_6 8 saikiran 33 
7 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_7 8 saikiran 33 
8 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_8 8 saikiran 33 
9 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_9 8 saikiran 33 
10 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_10 8 saikiran 33 
11 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_11 8 saikiran 33 
12 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_12 8 saikiran 33 
13 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_13 8 saikiran 33 
14 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_14 8 saikiran 33 
15 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_15 8 saikiran 33 
16 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_16 8 saikiran 33 
17 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_17 8 saikiran 33 
18 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_18 8 saikiran 33 
19 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_19 8 saikiran 33 
20 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_20 8 saikiran 33 
21 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_21 8 saikiran 33 
22 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_22 8 saikiran 33 
23 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_23 8 saikiran 33 
24 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_24 8 saikiran 33 
25 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_25 8 saikiran 33 
26 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_26 8 saikiran 33 
27 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_27 8 saikiran 33 
28 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_28 8 saikiran 33 
29 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_29 8 saikiran 33 
30 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_30 8 saikiran 33 
31 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_31 8 saikiran 33 
32 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_32 8 saikiran 33 
33 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_33 8 saikiran 33 
34 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_34 8 saikiran 33 
35 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_35 8 saikiran 33 
36 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_36 8 saikiran 33 
37 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_37 8 saikiran 33 
38 Building_a_flyover Buliding_a_flyover_between_JNTU_to_Forum Ravi Prepare_Cement_Mixture_on_Day_38 8 saikiran 33 
